Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
Plastic Man,https://static.wikia.nocookie.net/superheroes/images/d/d6/Plastic_Man.jpg/revision/latest/scale-to-width-down/250?cb=20180130013032,,"Police Comics #1 (August, 1941)",,"Justice League, FBI, Freedom Fighters, NBI, All-Star Squadron, Elastic Four, Secret Six, Terrifics, Justice League of Anarchy","Plastic Man, ""Eel"" O'Brian","Mammoth City, USA","Elasticity, Plasticity, Malleability, Resilience, Durability, Agility, Regeneration, Immunity to Telepathy, Invulnerability, Immortality","Sneaky, Creative",
Polaris,https://static.wikia.nocookie.net/superheroes/images/5/59/Polaris.jpg/revision/latest/scale-to-width-down/150?cb=20230801032312,,"X-Men (Vol. 1) #49 (August, 1968)","Arnold Drake, Don Heck",,"Magnetrix, Malice, Pestilence",Krakoa,"Magnetic field manipulation, flight",,
Power Girl,https://static.wikia.nocookie.net/superheroes/images/f/f2/Power_Girl.jpg/revision/latest/scale-to-width-down/180?cb=20230411032120,,"All-Star Comics #58 (February, 1976)","Gerry Conway, Ric Estrada",,"Nightwing, Karen Starr, Paige Stetler, Supergirl",Mobile,"Superhuman strength, speed & stamina, various extra sensory and vision powers, invulnerability, and flight",Skilled Martial Artist,
Professor X,https://static.wikia.nocookie.net/superheroes/images/4/4a/Professor_X.jpg/revision/latest/scale-to-width-down/200?cb=20240311171247,,"X-Men (Vol. 1) #1 (September, 1963)","Stan Lee, Jack Kirby","X-Men, Illuminati, Genoshan Excalibur, Cadre K, Brotherhood of Mutants, Shi'ar Imperium, Starjammers, The Twelve, Defenders","Onslaught, Consort-Royal, Founder, X, Warlord, Entity","Salem Center, New York","Telepathy, Psychic Empathy, Mind-reading and control, Memory alteration and erasure, Mental bolts, Psionic blasts, Induced paralysis, Illusion casting, Astral projection, Eidetic memory","Genius-Level Intellect, Skilled Strategist and Teacher,","Cerebro, Wheelchair (in some cases, a high tech chair), The Danger Room"
Psylocke,https://static.wikia.nocookie.net/superheroes/images/8/85/Psylocke.jpg/revision/latest/scale-to-width-down/180?cb=20230914215157,,"Captain Britain (vol. 1) #8 (December, 1976)","Chris Claremont, Herb Trimpe","X-Men, Captain Britain Corps, Excalibur, Exiles, The Hand, X-Force","Psylocke, Lady Briton, Lady Mandarin",Krakoa,"Telekinesis, Telepathy, Precognition, Ability to construct weapons made of psychic energy, usually in the form of a blade",Expert martial artist,
Pyro,https://static.wikia.nocookie.net/superheroes/images/4/49/Pyro.jpg/revision/latest/scale-to-width-down/250?cb=20190123174742,,"X-Men (Vol. 1) #141 (January, 1981)","Chris Claremont, John Byrne","Brotherhood of Evil Mutants, Freedom Force",,Mobile,"Fire Control, Fire Invulnerability",Fighting Experience,
Quantum,https://static.wikia.nocookie.net/superheroes/images/0/05/Quantum.jpg/revision/latest/scale-to-width-down/262?cb=20150523132046,,,,,,,,,
Quicksilver,https://static.wikia.nocookie.net/superheroes/images/b/ba/Quicksilver.jpg/revision/latest/scale-to-width-down/250?cb=20240225051024,,"The X-Men (Vol. 1) #4 (March, 1964)","Stan Lee, Jack Kirby","Avengers, Inhumans, X-Factor, Brotherhood of Evil Mutants","Pietro Frank, Mateo Maximoff, Peter Maximoff",New York City,Super Speed,Fighting Experience,
Ra's Al Ghul,https://static.wikia.nocookie.net/superheroes/images/5/56/Ra%27s_Al_Ghul.png/revision/latest?cb=20160608140330,,"Batman (Vol. 1) #232 (June, 1971)","Julius Schwartz, Dennis O'Neil, Neal Adams","The Demon, League of Assassins, Underground Society","Ra's, The Demon's Head",Mobile,Longevity,"Criminal mastermind, Skilled martial artist and hand-to-hand combatant, Skilled alchemist, demonologist, and swordsman",
Raphael,https://static.wikia.nocookie.net/superheroes/images/6/6c/Raphael.jpg/revision/latest/scale-to-width-down/250?cb=20140707232819,,"Teenage Mutant Ninja Turtles #1 (May, 1984)","Kevin Eastman, Peter Laird",,"The Shredder, Nightwatcher",New York City,Half-Human/Half-Turtle Creature,"Highly skilled in ninjutsu, Olympic-level agility, speed, and strength, Mastery of kobudo, Master of stealth, Chi Gong, Master of twin offensive/defensive sai",Twin offensive/defensive sai
Ray,https://static.wikia.nocookie.net/superheroes/images/d/d0/Ray.jpg/revision/latest/scale-to-width-down/250?cb=20240221184352,,"The Ray #1 (February, 1992)","Jack C. Harris, Joe Quesada","Freedom Fighters, Justice League of America, Justice League Task Force, Young Justice, JSA Reserves, Forgotten Heroes, Justice League International",,"Philadelphia, Pennsylvania","Flight, Light Manipulation, Light Absorption, Light Projection","Programming, Fighting Experience",
Red Hood,https://static.wikia.nocookie.net/superheroes/images/5/59/Red_Hood.jpg/revision/latest/scale-to-width-down/180?cb=20140708202020,,,,,,,,,
Red Hulk,https://static.wikia.nocookie.net/superheroes/images/c/c8/Red_Hulk.png/revision/latest/scale-to-width-down/372?cb=20181226204728,,,,,,,,,
Red Mist,https://static.wikia.nocookie.net/superheroes/images/a/a1/Red_Mist.jpg/revision/latest/scale-to-width-down/250?cb=20190726165558,,"Kick-Ass (Vol. 1) #4 (October, 2008)","Mark Millar, John Romita Jr.","Genovese Crime Family, The Toxic Mega Cunts",The Motherfucker,New York City,,Competant Novice Fighter,
Red Robin,https://static.wikia.nocookie.net/superheroes/images/a/a0/Red_Robin.jpg/revision/latest/scale-to-width-down/180?cb=20240105192223,,"Batman #436 (August, 1989)","Marv Wolfman, Pat Broderick",,"Robin, Batman, Tim Wayne",Gotham City,,"Detective, Computer Hacker, Master martial artist,","Batarangs, Various Bat-Tools"
Rogue,https://static.wikia.nocookie.net/superheroes/images/f/f6/Rogue.jpg/revision/latest/scale-to-width-down/250?cb=20230904160419,,"Avengers Annual #10 (October, 1981)","Chris Claremont, Michael Golden","X-Men, Excalibur, Avengers, Brotherhood of Evil Mutants",Anna Raven,Krakoa,"Bio-energy absorbing touch, Superhuman strength, Invulnerability, Flight",Fighting experience,
Rorschach,https://static.wikia.nocookie.net/superheroes/images/6/64/Rorschach.jpg/revision/latest/scale-to-width-down/250?cb=20120406201510,,"Watchmen #1 (September, 1986)","Alan Moore, Dave Gibbons",,,New York City,,"Hand-to-hand combat expertise, Detective Expertise",Uses Improvised Weapons
Sabretooth,https://static.wikia.nocookie.net/superheroes/images/e/e2/Sabretooth.jpg/revision/latest?cb=20140118050419,,"Iron Fist #14, (August 1977)","Chris Claremont, John Byrne",,"Slasher, El Tigre, Der Schlächter",Nomadic,"Accelerated Healing Factor, Resistance to Mental Control, Unusually Sharp Teeth, Retractable Claws, Longevity in Age, Superhuman Senses, Strength, Stamina, Agility, and Reflexes","Fighting Expertise, Killing Expertise",Will occasionally use guns and knives
Sage,https://static.wikia.nocookie.net/superheroes/images/7/70/Sage.jpg/revision/latest?cb=20240110172834,,,,,,,,,
Sandman,https://static.wikia.nocookie.net/superheroes/images/1/13/Sandman.jpeg/revision/latest/scale-to-width-down/180?cb=20160805114334,,,,,,,,,
Sauron,https://static.wikia.nocookie.net/superheroes/images/3/3a/Sauron.jpg/revision/latest/scale-to-width-down/250?cb=20140617185639,,"X-Men (Vol. 1) #59 (August, 1969) [as Karl Lykos], X-Men (Vol. 1) #60 (September, 1969) [as Sauron]","Roy Thomas, Neal Adams",,,The Savage Land,"Flight, Pterodactyl-Like Body (including wings), Life-Force Absorption, Mutant Power Absorption, Concussive Bursts, Superhuman Strength, Fire Breath, Hypnosis",Fighting Experience,
Savage Dragon,https://static.wikia.nocookie.net/superheroes/images/b/b1/Savage_Dragon.jpg/revision/latest/scale-to-width-down/180?cb=20140605160723,,,,,,,,,
Scarecrow,https://static.wikia.nocookie.net/superheroes/images/9/98/Scarecrow.jpg/revision/latest/scale-to-width-down/180?cb=20180505002721,,,,,,,,,
Sebastian Shaw,https://static.wikia.nocookie.net/superheroes/images/6/63/Sebastian_Shaw.jpg/revision/latest/scale-to-width-down/180?cb=20210905195204,,,,,,,,,
