Unnamed: 0,Title,Title_Synonym,Title_Japanese,Status,Volumns,Chapters,Publishing,Rank,Score,Scored_by,Popularity,Memebers,Favorites,Synopsis,Publish_period,Genre,image_url,manga_url
173,Dragon Ball,Dragon Ball,ドラゴンボール,Finished,42.0,520.0,False,174,8.4,74314,59,119792,11395,"Dragon Ball series follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe. (Source: Wikipedia)","Nov  20, 1984 to May  23, 1995","'Action', 'Adventure', 'Comedy', 'Martial Arts', 'Sci-Fi', 'Shounen', 'Super Power'",https://ta1.yx247.com/files/img/logo/201503/201503220938438560.jpg,https://ninemanga.com/manga/Dragon+Ball.html
174,Kiseijuu,Parasyte,寄生獣,Finished,10.0,64.0,False,175,8.4,39756,108,81911,3692,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm. Thus, both Shinichi and the Parasite—who calls himself Migi—retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites. [Written by MAL Rewrite]","Nov  22, 1989 to Dec  23, 1995","'Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201507/201507061949554658.jpg,https://ninemanga.com/manga/Kiseijuu.html
175,Shin Angyo Onshi,Blade of the Phantom Master,新暗行御史,Finished,17.0,76.0,False,176,8.4,9183,417,29346,1181,"In Jushin, there once lived secret government agents called the amen osa (or angyō onshi in the Japanese version), who traveled the countryside in disguise. They were charged by the king with finding and punishing corrupt government officials, and bringing justice to the country's citizens. (Source: Wikipedia)","Mar  19, 2001 to Aug  18, 2007","'Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Supernatural', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220142182529.jpg,https://ninemanga.com/manga/Shin+Angyo+Onshi.html
176,Kaichou wa Maid-sama!,Maid-sama!,会長はメイド様！,Finished,18.0,98.0,False,177,8.4,70297,45,136250,8548,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule. However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets. [Written by MAL Rewrite] Included one-shot: Volume 1: Toumei na Sekai (Transparent World)","Dec  24, 2005 to Sep  24, 2013","'Comedy', 'Romance', 'School', 'Shoujo'",https://ta1.yx247.com/files/img/logo/201503/201503220611214192.jpg,https://ninemanga.com/manga/Kaichou+wa+Maid-sama%21.html
177,Tobaku Mokushiroku Kaiji,Gambling Apocalypse Kaiji,賭博黙示録カイジ,Finished,13.0,158.0,False,178,8.4,3602,1120,12207,303,"Itou Kaiji is a bum who steals car emblems and slashes tires on what seems to be a regular basis. This routine changes one day when he is paid a visit by a man in a trench-coat. Once the two get talking, it seems that the visitor (Calling himself Endou) is a debt collector. The reason for his visit is an unpaid loan which kaiji had previously co-signed for a work-mate (Furuhata Takeshi). The original loan was 30000 yen and once Takeshi had disappeared, the loan then fell on Kaiji. Kaiji is then told of a way to clear the interest compounded debt (which stood at 3,850,000 yen), which involved getting on a boat with others in his position. Once on the boat the debtors would then have to gamble with loaned money, which would end with a few winning, and others getting into deeper debt and having to work to pay of their debts. After some coercing kaiji accepts a position on the boat, in order to clear himself and make a bit of money as well... (Source: AniDB)","Feb  10, 1996 to Jul  26, 1999","'Drama', 'Game', 'Seinen'",https://ta1.yx247.com/files/img/logo/201507/201507061927581964.jpg,https://ninemanga.com/manga/Tobaku+Mokushiroku+Kaiji.html
178,Billy Bat,unkown,BILLY BAT,Finished,20.0,165.0,False,179,8.4,9815,346,34679,1210,"Japanese-American Kevin Yamagata now authors the renowned detective comic book ""Billy Bat"" after serving in the Allied Forces in World War II. But as his series becomes a massive hit, Kevin discovers that his famed character, Billy Bat, already existed before within a Japanese comic. Worried that he may have unconsciously copied something he saw during his time there, Kevin returns to Japan to find Billy Bat's original creator and seek permission for him to use their character. However, as he traces back Billy Bat's roots, he finds himself unraveling a dark and twisted history of murders that somehow involve the character he thought he created. [Written by MAL Rewrite]","Oct  16, 2008 to Aug  18, 2016","'Mystery', 'Drama', 'Historical', 'Supernatural', 'Police', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220855086231.jpg,https://ninemanga.com/manga/Billy+Bat.html
179,Toaru Majutsu no Index,A Certain Magical Index,とある魔術の禁書目録,Finished,22.0,133.0,False,180,8.4,7968,491,24750,1561,"Despite 80% of its 2.3 million population being students, Academy City is far more advanced than any other nation worldwide. Its residents awaken something akin to a supernatural ability inside them, which is then ranked from Level 0 to 5. Along the lines lies Touma Kamijou, a powerless Level 0 esper. While his abilities are recognized as useless, he possesses a mysterious phenomenon known as ""Imagine Breaker,"" which allows his right hand to nullify any supernatural powers upon coming in contact with them. Despite that, he claims to have rotten luck due to the misfortunes that frequently happen to him. One day, a girl calling herself Index Librorum Prohibitorum mysteriously lands on Touma's balcony and explains to him that she is being hunted down by magicians. This leads the powerless boy to discover a whole new world—one where magic exists. With Touma facing the problems that arise from both the scientific and magical sides of the world, how will he resolve them? [Written by MAL Rewrite]","Apr  10, 2004 to Oct  10, 2010","'Action', 'Comedy', 'Fantasy', 'Magic', 'Sci-Fi', 'Super Power', 'Supernatural'",https://ta1.yx247.com/files/img/logo/201512/201512241530152517.jpg,https://ninemanga.com/manga/Toaru+Majutsu+no+Index.html
180,Boku dake ga Inai Machi,ERASED,僕だけがいない街,Finished,9.0,49.0,False,181,8.4,33502,132,72530,2947,"Satoru Fujinuma is a 29-year-old who works part-time as a pizza deliveryman in order to make ends meet due to his unsuccessful career as a mangaka. But there is more to this struggling adult than meets the eye, as he possesses a mysterious ability which takes him back in time right before a life-threatening incident occurs. When ""Revival,"" as he calls it, triggers, it will continue to send him back again and again until he is able to save the lives of the individuals involved. But Satoru's life is about to take a turn for the worse when a loved one is killed by an unknown man and he is framed for the crime. Desperate to get away so that he can assess his situation, he is inexplicably sent 18 years into the past—right before the disappearance and death of his classmate, Kayo Hinazuki, an event that has plagued him since childhood. Satoru, now an elementary school student, must get his wits together and save the young girl from an untimely demise by figuring out the identity of the person responsible. But just how is Kayo's murder connected to the present? [Written by MAL Rewrite]","Jun  4, 2012 to Nov  4, 2016","'Mystery', 'Supernatural', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220843098784.jpg,https://ninemanga.com/manga/Boku+dake+ga+Inai+Machi.html
182,Ballroom e Youkoso,Welcome to the Ballroom,ボールルームへようこそ,Publishing,unkown,unkown,True,183,8.39,9561,406,30337,1069,"With no particular dreams or plans for the future, third-year middle schooler Tatara Fujita yearns to find something that he can pursue wholeheartedly. Initially often bullied and extorted for his lack of confidence, Tatara's life changes when he is saved from delinquents by a man named Kaname Sengoku. His savior, a motorcycle-riding dance instructor, proceeds to drag Tatara to Ogasawara Dance Studio, mistakenly believing that the boy was looking at the studio's flyer. Tatara is then partnered with his schoolmate and skilled dancer Shizuku Hanaoka when he agrees to a trial lesson. The next day after being bullied and only to be saved yet again, he asks the studio to teach him dancing in hopes of changing his image. Now entering a bright and fast-paced new world, Tatara dedicates his time to dancing as he sweeps over the dance hall. [Written by MAL Rewrite]","Nov  5, 2011 to present","'Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports'",https://ta1.yx247.com/files/img/logo/201503/201503220914032795.jpg,https://ninemanga.com/manga/Ballroom+e+Youkoso.html
183,Shadows House,unkown,シャドーハウス,Publishing,unkown,unkown,True,185,8.39,3634,909,14445,664,"Emilico is just one of many ""Living Dolls"" serving in the Shadows House, residents of which are pitch black from head to toe and constantly leak soot that stains the house black. Each ""Shadow"" is partnered with a Doll, which strangely resembles the other. As a Living Doll, Emilico must keep the house sparkling clean as well as act as the face for her master, Kate. In turn, Kate supports Emilico and treats her as her confidant. As far as either of them can remember, this has always been the way their world works. However, the bond between a Shadow and a Doll isn't quite clear. Administrators watch over the young pairs from the higher levels of the mansion and judge them—but for what purpose? [Written by MAL Rewrite]","Sep  6, 2018 to present","'Slice of Life', 'Supernatural', 'Seinen'",https://ta1.yx247.com/files/img/logo/201907/201907240912235705.jpg,https://ninemanga.com/manga/Shadows+House.html
