Character,Image_URL
Black Manta,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Black_Manta_Aquaman.webp/220px-Black_Manta_Aquaman.webp.png
Black Vulcan,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Black_vulcan.jpg/220px-Black_vulcan.jpg
Black Widow,https://static.wikia.nocookie.net/marvel_dc/images/0/0e/Black_Widow_Batman_1966_TV_Series_0001.jpg/revision/latest/scale-to-width-down/350?cb=20191126174632
Blackout,https://static.wikia.nocookie.net/marvel_dc/images/4/42/Blackout_0001.JPG/revision/latest/scale-to-width-down/286?cb=20131228210431
Blackwing,https://static.wikia.nocookie.net/marvel_dc/images/a/ad/Blackwing_001.png/revision/latest/scale-to-width-down/350?cb=20110208223126
Blackwulf,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Blackwulf1_HCV.jpg/200px-Blackwulf1_HCV.jpg
Blade,https://static.wikia.nocookie.net/marvel_dc/images/5/50/Blade_Dial_H.png/revision/latest/scale-to-width-down/103?cb=20110415184131
Blink,https://static.wikia.nocookie.net/marvel_dc/images/e/e6/Batman_Legends_of_the_Dark_Knight_Vol_1_164_Textless.jpg/revision/latest/scale-to-width-down/123?cb=20150521174542
Blizzard,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Blizzard3_-_NOAA.jpg/220px-Blizzard3_-_NOAA.jpg
Blob,https://static.wikia.nocookie.net/marvel_dc/images/6/6e/Daniel_Stone_01.jpg/revision/latest/scale-to-width-down/350?cb=20110216063524
Bloodhawk,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Wot6.jpg/250px-Wot6.jpg
Blue Beetle,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/BlueBeetles.PNG/220px-BlueBeetles.PNG
Blue Streak,https://static.wikia.nocookie.net/marvel_dc/images/f/fc/Max_Mercury_0002.jpg/revision/latest/scale-to-width-down/330?cb=20121011080416
Boba Fett,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/FettbobaJB.png/220px-FettbobaJB.png
Bomb Queen,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Bomb_queen.jpg/220px-Bomb_queen.jpg
Booster Gold,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Booster_Gold_%28circa_1988%29.png/220px-Booster_Gold_%28circa_1988%29.png
Brainiac,https://static.wikia.nocookie.net/marvel_dc/images/c/c0/Justice_League_Vol_4_18_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20190225002124
Brainiac 5,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Brianiac_5_%28Post-Infinite_Crisis_version%29.jpg/220px-Brianiac_5_%28Post-Infinite_Crisis_version%29.jpg
Brother Voodoo,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/BrotherVoodoo.png/220px-BrotherVoodoo.png
Bumblebee,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bombus_lapidarius_-_Melilotus_officinalis_-_Tallinn.jpg/220px-Bombus_lapidarius_-_Melilotus_officinalis_-_Tallinn.jpg
Bushido,https://static.wikia.nocookie.net/marvel_dc/images/5/5a/Bushido.jpg/revision/latest/scale-to-width-down/89?cb=20130710150841
Callisto,https://static.wikia.nocookie.net/marvel_dc/images/b/bc/Callisto_001.jpg/revision/latest/scale-to-width-down/350?cb=20130924182009
Cannonball,https://static.wikia.nocookie.net/marvel_dc/images/7/7c/Cannon_Ball_Earth-One.jpg/revision/latest/scale-to-width-down/185?cb=20120826115733
Captain America,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/CaptainAmericaHughes.jpg/220px-CaptainAmericaHughes.jpg
Captain Atom,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Captain_Atom_%28Nathaniel_Christopher_Adam%29.png/220px-Captain_Atom_%28Nathaniel_Christopher_Adam%29.png
Captain Britain,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Excalibur_%28Vol._4%29_No._14_%28Sauz_Textless_Variant%29.png/250px-Excalibur_%28Vol._4%29_No._14_%28Sauz_Textless_Variant%29.png
Captain Cold,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Flash182.jpg/220px-Flash182.jpg
Captain Marvel,https://static.wikia.nocookie.net/marvel_dc/images/0/0e/Shazam%21_Vol_5_1_Textless_Shaner_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20230503165640
Captain Marvel II,https://static.wikia.nocookie.net/marvel_dc/images/4/44/Shazam_Freddy.jpg/revision/latest/scale-to-width-down/325?cb=20101017202055
Captain Midnight,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Richard_Webb_as_Captain_Midnight_1954.JPG/250px-Richard_Webb_as_Captain_Midnight_1954.JPG
