Name,Creator,Rating,English_Link,English_Release_Date,Status,Image_URL
She Would Never Know,CafelatteElizeJINHA,9.08 / 10,https://www.webtoons.com/en/romance/she-would-never-know/list?title_no=2508,"February 24, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/7/7c/She_Would_Never_Know.png/revision/latest/scale-to-width-down/350?cb=20210225035317
Neon Revenge,GisongNemGa,9.64 / 10,https://www.webtoons.com/en/action/neon-revenge/list?title_no=2510,"March 9, 2021",Hiatus,https://static.wikia.nocookie.net/webtoon/images/a/a3/Neon_Revenge.png/revision/latest/scale-to-width-down/350?cb=20210310034714
The Spark in Your Eyes,MURO,9.74 / 10,https://www.webtoons.com/en/fantasy/the-spark-in-your-eyes/list?title_no=3210,"August 13, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/f/f1/The_Spark_in_Your_Eyes.png/revision/latest/scale-to-width-down/350?cb=20210814044006
The Croaking,echorise,9.77 / 10,https://www.webtoons.com/en/fantasy/the-croaking/list?title_no=1494,"December 7, 2018",Ongoing,https://static.wikia.nocookie.net/webtoon/images/9/91/The_Croaking.png/revision/latest?cb=20210103004850
There's Love Hidden in Lies,Kawai Aporo,9.06 / 10,https://www.webtoons.com/en/romance/theres-love-hidden-in-lies/list?title_no=2467,"February 13, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/6/69/There%27s_Love_Hidden_in_Lies.png/revision/latest?cb=20210215150136
Raven Saga,Chihiro Howe,9.78 / 10,https://www.webtoons.com/en/fantasy/raven-saga/list?title_no=2527,"March 11, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/0/0b/Raven_Saga.png/revision/latest/scale-to-width-down/350?cb=20210320171154
Midnight Rain,Pani,9.05 / 10,https://www.webtoons.com/en/drama/midnight-rain/list?title_no=1797,"November 10, 2019 (Originals)February 27, 2016 (Canvas)",Hiatus,https://static.wikia.nocookie.net/webtoon/images/8/80/Midnight_Rain.png/revision/latest/scale-to-width-down/350?cb=20190519063647
The Girl Downstairs,MIN SONGA,9.46 / 10,https://www.webtoons.com/en/romance/the-girl-downstairs/list?title_no=1809,"November 13, 2019",Complete,https://static.wikia.nocookie.net/webtoon/images/2/20/The_Girl_Downstairs.png/revision/latest/scale-to-width-down/350?cb=20210103021953
The Nuna at Our Office,WasakBasakJANEPalmeiro,9.23 / 10,https://www.webtoons.com/en/drama/the-nuna-at-our-office/list?title_no=3089,"July 15, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/6/62/The_Nuna_at_Our_Office.png/revision/latest/scale-to-width-down/350?cb=20210722123132
After School Lessonsfor Unripe Apples,,,,,,
Bad Signs,Jimena Aranda,9.55 / 10,https://www.webtoons.com/en/comedy/bad-signs/list?title_no=1623,"May 31, 2019",Ongoing,https://static.wikia.nocookie.net/webtoon/images/c/c5/Bad_Signs.png/revision/latest?cb=20210103004524
Lone,Mel0h,9.73 / 10,https://www.webtoons.com/en/fantasy/lone/list?title_no=1929,"March 13, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/f/f6/Lone.png/revision/latest?cb=20210103004803
Tales of Greed,Juin KimTaejun Pak Webtoon Company,9.33 / 10,https://www.webtoons.com/en/thriller/tales-of-greed/list?title_no=2772,"May 14, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/0/06/Tales_of_Greed.png/revision/latest/scale-to-width-down/350?cb=20210603032704
Moonlight Beauty Parlor,Nawa,9.71 / 10,https://www.webtoons.com/en/drama/moonlight-beauty-parlor/list?title_no=3092,"July 16, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/d/d0/Moonlight_Beauty_Parlor.png/revision/latest/scale-to-width-down/350?cb=20210722144927
Money Game,BAE jin soo,9.02 / 10,https://www.webtoons.com/en/thriller/money-game/list?title_no=3254,"August 23, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/a/a0/Money_Game.png/revision/latest/scale-to-width-down/350?cb=20210824035445
Crown of Feathers,Nicki Pau PretoFoxkirin,9.37 / 10,https://www.webtoons.com/en/fantasy/crown-of-feathers/list?title_no=2126,"September 29, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/b/bf/Crown_of_Feathers.png/revision/latest?cb=20210103021739
Pyramid Game,Dalgonyak,9.69 / 10,https://www.webtoons.com/en/drama/pyramid-game/list?title_no=2277,"February 17, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/e/e3/Pyramid_Game.png/revision/latest/scale-to-width-down/350?cb=20210218093016
Fluidum,GirlsOnFilmValeriaM,8.92 / 10,https://www.webtoons.com/en/drama/fluidum/list?title_no=2283,"October 20, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/0/03/Fluidum.png/revision/latest?cb=20210103021802
The Sound of Another,Baek JuneThresher,9.28 / 10,https://www.webtoons.com/en/sf/the-sound-of-another/list?title_no=2955,"July 12, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/5/55/The_Sound_of_Another.png/revision/latest/scale-to-width-down/350?cb=20210722104524
The World is Money and Power,Dongwoo HanDohee Lee,9.65 / 10,https://www.webtoons.com/en/action/the-world-is-money-and-power/list?title_no=2615,"April 17, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/3/37/The_World_is_Money_and_Power.png/revision/latest/scale-to-width-down/350?cb=20210727103836
Random Chat,Eun Hyuk Park,9.62 / 10,https://www.webtoons.com/en/drama/random-chat/list?title_no=1669,"July 12, 2019",Ongoing,https://static.wikia.nocookie.net/webtoon/images/f/f0/Random_Chat.png/revision/latest?cb=20210103004824
If AI Ruled the World,POGOHOOPA,9.71 / 10,https://www.webtoons.com/en/sf/if-ai-ruled-the-world/list?title_no=2605,"April 18, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/d/d5/If_AI_Ruled_the_World.png/revision/latest?cb=20210509165520
She Bites!,NoChanJooMandaRat,9.61 / 10,https://www.webtoons.com/en/slice-of-life/she-bites/list?title_no=3236,"September 15, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/e/e8/She_Bites%21.png/revision/latest/scale-to-width-down/350?cb=20210916130725
